test_type,delta_mu,delta_s,ratio
delta_mu_large,1.0,-0.5,2.1102037441892114
delta_mu_large,1.0985411419875581,-0.5,1.9664045894705768
delta_mu_large,1.2067926406393286,-0.5,1.8293473182320426
delta_mu_large,1.3257113655901092,-0.5,1.7005520740769902
delta_mu_large,1.4563484775012439,-0.5,1.5809726593858089
delta_mu_large,1.599858719606058,-0.5,1.471073423037426
delta_mu_large,1.7575106248547918,-0.5,1.3709201379811846
delta_mu_large,1.93069772888325,-0.5,1.2802729543103846
delta_mu_large,2.120950887920191,-0.5,1.198673204511996
delta_mu_large,2.329951810515372,-0.5,1.1255191325134313
delta_mu_large,2.5595479226995357,-0.5,1.0601282620312382
delta_mu_large,2.8117686979742302,-0.5,1.0017860593937717
delta_mu_large,3.088843596477481,-0.5,0.9497818358456721
delta_mu_large,3.393221771895328,-0.5,0.9034335781399465
delta_mu_large,3.72759372031494,-0.5,0.8621037154982152
delta_mu_large,4.094915062380425,-0.5,0.8252078473116534
delta_mu_large,4.498432668969445,-0.5,0.7922182794066955
delta_mu_large,4.941713361323834,-0.5,0.7626639383979512
delta_mu_large,5.428675439323859,-0.5,0.7361279217716714
delta_mu_large,5.963623316594643,-0.5,0.7122436411841457
delta_mu_large,6.551285568595508,-0.5,0.6906902535612455
delta_mu_large,7.196856730011519,-0.5,0.6711878595121857
delta_mu_large,7.906043210907698,-0.5,0.6534927819395365
delta_mu_large,8.685113737513525,-0.5,0.637393114523775
delta_mu_large,9.54095476349994,-0.5,0.6227046425211108
delta_mu_large,10.481131341546858,-0.5,0.6092671791727274
delta_mu_large,11.513953993264469,-0.5,0.5969413228390831
delta_mu_large,12.648552168552959,-0.5,0.5856056168050577
delta_mu_large,13.894954943731374,-0.5,0.5751540809026451
delta_mu_large,15.264179671752334,-0.5,0.565494078193821
delta_mu_large,16.768329368110074,-0.5,0.5565444784464181
delta_mu_large,18.420699693267153,-0.5,0.5482340812781595
delta_mu_large,20.235896477251565,-0.5,0.5405002644621314
delta_mu_large,22.229964825261945,-0.5,0.5332878262119315
delta_mu_large,24.42053094548651,-0.5,0.526547993812475
delta_mu_large,26.826957952797247,-0.5,0.5202375744428025
delta_mu_large,29.4705170255181,-0.5,0.5143182272886423
delta_mu_large,32.374575428176435,-0.5,0.508755838986233
delta_mu_large,35.564803062231285,-0.5,0.5035199870479363
delta_mu_large,39.06939937054615,-0.5,0.49858347819809723
delta_mu_large,42.91934260128776,-0.5,0.493921950515181
delta_mu_large,47.14866363457392,-0.5,0.48951352996251657
delta_mu_large,51.7947467923121,-0.5,0.48533853332707994
delta_mu_large,56.89866029018296,-0.5,0.4813792108055891
delta_mu_large,62.505519252739695,-0.5,0.4776195225096737
delta_mu_large,68.66488450042998,-0.5,0.47404494403421293
delta_mu_large,75.43120063354615,-0.5,0.4706422969691129
delta_mu_large,82.86427728546842,-0.5,0.46739960085576415
delta_mu_large,91.02981779915217,-0.5,0.4643059436131628
delta_mu_large,100.0,-0.5,0.4613513679005806
delta_s_negative,0.5,-7.575510204081633,1.170448555554838
delta_s_negative,0.5,-7.373469387755102,1.1759582674408908
delta_s_negative,0.5,-7.171428571428571,1.1818300366866015
delta_s_negative,0.5,-6.969387755102041,1.1880996016522627
delta_s_negative,0.5,-6.7673469387755105,1.194807347145249
delta_s_negative,0.5,-6.5653061224489795,1.2019990450128315
delta_s_negative,0.5,-6.3632653061224485,1.209726733730662
delta_s_negative,0.5,-6.161224489795918,1.218049767029268
delta_s_negative,0.5,-5.959183673469387,1.2270360689797732
delta_s_negative,0.5,-5.757142857142857,1.236763642375476
delta_s_negative,0.5,-5.555102040816326,1.2473223893207976
delta_s_negative,0.5,-5.353061224489796,1.2588163185035635
delta_s_negative,0.5,-5.151020408163265,1.271366233790917
delta_s_negative,0.5,-4.948979591836735,1.2851130250419587
delta_s_negative,0.5,-4.746938775510204,1.3002217163708423
delta_s_negative,0.5,-4.544897959183674,1.316886472206556
delta_s_negative,0.5,-4.3428571428571425,1.3353368209720429
delta_s_negative,0.5,-4.140816326530612,1.3558454348162847
delta_s_negative,0.5,-3.9387755102040813,1.3787379078192936
delta_s_negative,0.5,-3.736734693877551,1.4044051123850085
delta_s_negative,0.5,-3.53469387755102,1.4333188936783445
delta_s_negative,0.5,-3.332653061224489,1.4660520950879394
delta_s_negative,0.5,-3.130612244897959,1.5033042011817173
delta_s_negative,0.5,-2.928571428571428,1.54593423392929
delta_s_negative,0.5,-2.726530612244898,1.5950029035170075
delta_s_negative,0.5,-2.5244897959183668,1.6518262654080902
delta_s_negative,0.5,-2.3224489795918366,1.71804290766655
delta_s_negative,0.5,-2.1204081632653056,1.7956950474445101
delta_s_negative,0.5,-1.9183673469387745,1.8873184617917802
delta_s_negative,0.5,-1.7163265306122444,1.9960207958480176
delta_s_negative,0.5,-1.5142857142857142,2.125486518652602
delta_s_negative,0.5,-1.312244897959184,2.2797369125764146
delta_s_negative,0.5,-1.1102040816326522,2.4621778184569325
delta_s_negative,0.5,-0.908163265306122,2.672662859630603
delta_s_negative,0.5,-0.7061224489795919,2.8991438431144365
delta_s_negative,0.5,-0.5040816326530617,3.095473527750244
delta_s_negative,0.5,-0.3020408163265298,3.13351085989622
delta_s_negative,0.5,-0.1,2.7856620674949046
delta_s_positive,0.5,0.1,2.1159208743196403
delta_s_positive,0.5,0.2689655172413793,1.8403132768628019
delta_s_positive,0.5,0.4379310344827586,1.95308784702966
delta_s_positive,0.5,0.6068965517241379,2.1353403439954
delta_s_positive,0.5,0.7758620689655172,2.226856336413836
delta_s_positive,0.5,0.9448275862068966,2.228409057816766
delta_s_positive,0.5,1.113793103448276,2.176533442799813
delta_s_positive,0.5,1.2827586206896553,2.100072266055214
delta_s_positive,0.5,1.4517241379310346,2.0159351832432404
delta_s_positive,0.5,1.620689655172414,1.9328631552907825
delta_s_positive,0.5,1.7896551724137932,1.8549276172682185
delta_s_positive,0.5,1.9586206896551726,1.783716311403999
delta_s_positive,0.5,2.127586206896552,1.7195548179928575
delta_s_positive,0.5,2.2965517241379314,1.6621610332529622
delta_s_positive,0.5,2.4655172413793105,1.6109884725208345
delta_s_positive,0.5,2.6344827586206896,1.5654028076010473
delta_s_positive,0.5,2.803448275862069,1.5247697599692356
delta_s_positive,0.5,2.9724137931034487,1.4884961216712773
delta_s_positive,0.5,3.1413793103448278,1.4560462302262014
delta_s_positive,0.5,3.310344827586207,1.426945858913134
delta_s_positive,0.5,3.4793103448275864,1.4007799338612659
delta_s_positive,0.5,3.648275862068966,1.377187497359436
delta_s_positive,0.5,3.817241379310345,1.3558557144068035
delta_s_positive,0.5,3.986206896551724,1.3365138374639927
delta_s_positive,0.5,4.155172413793103,1.3189275660491733
delta_s_positive,0.5,4.324137931034483,1.3028939811884626
delta_s_positive,0.5,4.493103448275862,1.288237100229499
delta_s_positive,0.5,4.662068965517241,1.274804030234543
delta_s_positive,0.5,4.8310344827586205,1.2624616675716054
delta_s_positive,0.5,5.0,1.2510938804047174
