N,delta_mu,delta_s,pattern,kl_fused,right_side,ratio,inequality_holds
2,0.1,-2.0,same_direction,2.6878541548740484,3.501159028333452,0.7677041040187952,True
2,0.1,-2.0,opposite_direction,0.0,3.4859870026425943,0.0,True
2,0.1,-1.0,same_direction,0.898122038844752,0.9822369975669696,0.9143638867904865,True
2,0.1,-1.0,opposite_direction,0.0,0.9730225934758073,0.0,True
2,0.1,-0.5,same_direction,0.2613815784760492,0.2629067066793689,0.9941989756648556,True
2,0.1,-0.5,opposite_direction,0.0,0.25802127720239487,0.0,True
2,0.1,0.5,same_direction,0.24311801625277862,0.25313584772542086,0.9604250778281365,True
2,0.1,0.5,opposite_direction,0.0,0.25802127720239487,0.0,True
2,0.1,1.0,same_direction,0.8681298729677791,0.9638081893846451,0.9007288820839414,True
2,0.1,1.0,opposite_direction,0.0,0.9730225934758073,0.0,True
2,0.1,2.0,same_direction,2.6500184347819573,3.4708149769517362,0.763514751543844,True
2,0.1,2.0,opposite_direction,0.0,3.4859870026425943,0.0,True
2,0.5,-2.0,same_direction,3.3251674482572477,4.179318121276545,0.7956243941635144,True
2,0.5,-2.0,opposite_direction,0.0,3.831874461607132,0.0,True
2,0.5,-1.0,same_direction,1.4418146533413179,1.4625508410457806,0.9858219029913274,True
2,0.5,-1.0,opposite_direction,0.0,1.247575109170067,0.0,True
2,0.5,-0.5,same_direction,0.6683988383594293,0.6172588781347201,1.082850100721512,False
2,0.5,-0.5,opposite_direction,0.0,0.5023767145195328,0.0,True
2,0.5,0.5,same_direction,0.3100623876691073,0.3874945509043455,0.800172252604521,True
2,0.5,0.5,opposite_direction,0.0,0.5023767145195328,0.0,True
2,0.5,1.0,same_direction,0.8816709911973653,1.0325993772943534,0.8538364544704113,True
2,0.5,1.0,opposite_direction,0.0,1.247575109170067,0.0,True
2,0.5,2.0,same_direction,2.6503289461484734,3.4844308019377195,0.7606203413982577,True
2,0.5,2.0,opposite_direction,0.0,3.831874461607132,0.0,True
2,1.0,-2.0,same_direction,4.230509702565513,5.7672586133652715,0.7335391017079699,True
2,1.0,-2.0,opposite_direction,0.0,4.646971289077367,0.0,True
2,1.0,-1.0,same_direction,2.279332222785463,2.673595353437717,0.8525344794060518,True
2,1.0,-1.0,opposite_direction,0.0,1.956922452057074,0.0,True
2,1.0,-0.5,same_direction,1.3837466549375184,1.5573247482443344,0.8885408496188729,True
2,1.0,-0.5,opposite_direction,0.0,1.1688839693898654,0.0,True
2,1.0,0.5,same_direction,0.4943423734876147,0.7804431905353963,0.6334123732292264,True
2,1.0,0.5,opposite_direction,0.0,1.1688839693898654,0.0,True
2,1.0,1.0,same_direction,0.9228424737750784,1.240249550676431,0.7440780553169811,True
2,1.0,1.0,opposite_direction,0.0,1.956922452057074,0.0,True
2,1.0,2.0,same_direction,2.6512986731950914,3.5266839647894628,0.7517823257387821,True
2,1.0,2.0,opposite_direction,0.0,4.646971289077367,0.0,True
2,2.0,-2.0,same_direction,5.4490911362437675,9.117328891141852,0.597663109591007,True
2,2.0,-2.0,opposite_direction,0.0,6.404349393121082,0.0,True
2,2.0,-1.0,same_direction,3.4637753021171824,5.5349866197500734,0.6257965086595974,True
2,2.0,-1.0,opposite_direction,0.0,3.756178056850267,0.0,True
2,2.0,-0.5,same_direction,2.4968901953644527,3.9915333869310805,0.6255466141257069,True
2,2.0,-0.5,opposite_direction,0.0,3.0218254516694234,0.0,True
2,2.0,0.5,same_direction,1.0090733863916546,2.0521175164077663,0.491723002373684,True
2,2.0,0.5,opposite_direction,0.0,3.0218254516694234,0.0,True
2,2.0,1.0,same_direction,1.072418534244735,1.9773694939504605,0.5423460499040158,True
2,2.0,1.0,opposite_direction,0.0,3.756178056850267,0.0,True
2,2.0,2.0,same_direction,2.655168204944337,3.691369895100312,0.7192907458200375,True
2,2.0,2.0,opposite_direction,0.0,6.404349393121082,0.0,True
3,0.1,-2.0,same_direction,4.704426803940611,7.8776078137502665,0.5971897706977862,True
3,0.1,-2.0,opposite_direction,0.0,4.068328198991518,0.0,True
3,0.1,-1.0,same_direction,1.7893825764319011,2.2100332445256816,0.8096631943724174,True
3,0.1,-1.0,opposite_direction,0.0,1.1099730651168855,0.0,True
3,0.1,-0.5,same_direction,0.5749506410062375,0.59154009002858,0.971955494983373,True
3,0.1,-0.5,opposite_direction,0.0,0.293561554336382,0.0,True
3,0.1,0.5,same_direction,0.5195228348766121,0.5695556573821969,0.9121546386958095,True
3,0.1,0.5,opposite_direction,-2.220446049250313e-16,0.2880975220762707,-7.707272291854263e-16,True
3,0.1,1.0,same_direction,1.711082750751764,2.1685684261154514,0.7890379340332001,True
3,0.1,1.0,opposite_direction,0.0,1.0998228067969658,0.0,True
3,0.1,2.0,same_direction,4.618657559403294,7.8093336981414065,0.5914278654147559,True
3,0.1,2.0,opposite_direction,-2.220446049250313e-16,4.052496665036862,-5.479205124108636e-17,True
3,0.5,-2.0,same_direction,5.793886746602915,9.403465772872226,0.6161437587530253,True
3,0.5,-2.0,opposite_direction,0.0,4.602925109360844,0.0,True
3,0.5,-1.0,same_direction,2.8232785996906227,3.2907393923530064,0.8579465776753196,True
3,0.5,-1.0,opposite_direction,0.0,1.521285450266808,0.0,True
3,0.5,-0.5,same_direction,1.434406893293085,1.3888324758031203,1.032814913449954,False
3,0.5,-0.5,opposite_direction,0.0,0.627907366710569,0.0,True
3,0.5,0.5,same_direction,0.588739279190523,0.8718627395347773,0.6752660166492171,True
3,0.5,0.5,opposite_direction,-2.220446049250313e-16,0.5014883790085916,-4.4277118716887995e-16,True
3,0.5,1.0,same_direction,1.7159283098273281,2.323348598912295,0.7385582648383724,True
3,0.5,1.0,opposite_direction,0.0,1.2891716881546311,0.0,True
3,0.5,2.0,same_direction,4.618670765257823,7.839969304359869,0.5891184755901204,True
3,0.5,2.0,opposite_direction,-2.220446049250313e-16,4.251840132824347,-5.222317819779714e-17,True
3,1.0,-2.0,same_direction,6.916786973582438,12.97633188007186,0.533030985759909,True
3,1.0,-2.0,opposite_direction,0.0,5.874343025965484,0.0,True
3,1.0,-1.0,same_direction,3.926444298401514,6.015589545234864,0.6527114705676309,True
3,1.0,-1.0,opposite_direction,0.0,2.586438341434806,0.0,True
3,1.0,-0.5,same_direction,2.4647043859977864,3.5039806835497522,0.7034012480630705,True
3,1.0,-0.5,opposite_direction,0.0,1.5423573943056035,0.0,True
3,1.0,0.5,same_direction,0.778520731524114,1.7559971787046418,0.44334964825991957,True
3,1.0,0.5,opposite_direction,-2.220446049250313e-16,1.1351063507899048,-1.9561568373792777e-16,True
3,1.0,1.0,same_direction,1.7309210988313302,2.79056148902197,0.6202769964542081,True
3,1.0,1.0,opposite_direction,0.0,1.8560754802094035,0.0,True
3,1.0,2.0,same_direction,4.618712032429235,7.935038920776291,0.5820654540630007,True
3,1.0,2.0,opposite_direction,-2.220446049250313e-16,4.838839235160768,-4.588798968801739e-17,True
3,2.0,-2.0,same_direction,8.224757695190608,20.513990005069168,0.40093407928726715,True
3,2.0,-2.0,opposite_direction,0.0,8.698370994371036,0.0,True
3,2.0,-1.0,same_direction,5.227377940895582,12.453719894437667,0.41974430011312036,True
3,2.0,-1.0,opposite_direction,0.0,5.32190475061565,0.0,True
3,2.0,-0.5,same_direction,3.73794116333225,8.98095012059493,0.41620776344815463,True
3,2.0,-0.5,opposite_direction,0.0,4.1393887797929985,0.0,True
3,2.0,0.5,same_direction,1.3041012437311554,4.617264411917474,0.28244023460410483,True
3,2.0,0.5,opposite_direction,-2.220446049250313e-16,3.280369399247057,-6.768890265102376e-17,True
3,2.0,1.0,same_direction,1.7887406861506259,4.4490813613885365,0.4020471960064063,True
3,2.0,1.0,opposite_direction,0.0,3.819014242829347,0.0,True
3,2.0,2.0,same_direction,4.618877084087195,8.305582263975701,0.5561171917014087,True
3,2.0,2.0,opposite_direction,-2.220446049250313e-16,6.7789204514818096,-3.275515718383956e-17,True
5,0.1,-2.0,same_direction,8.836921829092594,21.882243927084076,0.40383983738317464,True
5,0.1,-2.0,opposite_direction,0.0,5.615422562823006,0.0,True
5,0.1,-1.0,same_direction,3.847608139712767,6.13898123479356,0.6267502689055138,True
5,0.1,-1.0,opposite_direction,-2.220446049250313e-16,1.5418817938963134,-1.4400883764502319e-16,True
5,0.1,-0.5,same_direction,1.4650017035228413,1.6431669167460554,0.8915720543010733,True
5,0.1,-0.5,opposite_direction,0.0,0.4094544431423791,0.0,True
5,0.1,0.5,same_direction,1.2729226895178245,1.5820990482838804,0.8045783801580421,True
5,0.1,0.5,opposite_direction,-2.220446049250313e-16,0.39802098141699105,-5.578716080105431e-16,True
5,0.1,1.0,same_direction,3.6271475343590147,6.023801183654031,0.6021359974830363,True
5,0.1,1.0,opposite_direction,-2.220446049250313e-16,1.5203999495977372,-1.4604354925411513e-16,True
5,0.1,2.0,same_direction,8.613796437193784,21.692593605948353,0.39708467293794614,True
5,0.1,2.0,opposite_direction,0.0,5.58055347491478,0.0,True
5,0.5,-2.0,same_direction,10.594719632071115,26.120738257978402,0.4056056734474199,True
5,0.5,-2.0,opposite_direction,0.0,6.505833067338691,0.0,True
5,0.5,-1.0,same_direction,5.596570376841216,9.140942756536129,0.6122530821932399,True
5,0.5,-1.0,opposite_direction,-2.220446049250313e-16,2.199691536343959,-1.0094351924183195e-16,True
5,0.5,-0.5,same_direction,3.1180070530272372,3.857867988342001,0.8082202559676661,True
5,0.5,-0.5,opposite_direction,0.0,0.9182065994354849,0.0,True
5,0.5,0.5,same_direction,1.3068188499009015,2.4218409431521595,0.5395973065844715,True
5,0.5,0.5,opposite_direction,-2.220446049250313e-16,0.6504308574504669,-3.413807976383423e-16,True
5,0.5,1.0,same_direction,3.6274162607600555,6.4537461080897085,0.5620636758878884,True
5,0.5,1.0,opposite_direction,-2.220446049250313e-16,1.700958995362396,-1.305408334536153e-16,True
5,0.5,2.0,same_direction,8.613796449559583,21.777692512110747,0.39553301823732623,True
5,0.5,2.0,opposite_direction,0.0,5.71344549226954,0.0,True
5,1.0,-2.0,same_direction,11.871805669277057,36.04536633353295,0.32935733152010543,True
5,1.0,-2.0,opposite_direction,0.0,8.623647664981497,0.0,True
5,1.0,-1.0,same_direction,6.8723220914890355,16.709970958985732,0.41127073819320237,True
5,1.0,-1.0,opposite_direction,-2.220446049250313e-16,3.8918715521622427,-5.705342582585182e-17,True
5,1.0,-0.5,same_direction,4.378354048906959,9.73327967652709,0.44983337522560435,True
5,1.0,-0.5,opposite_direction,0.0,2.2975664571398644,0.0,True
5,1.0,0.5,same_direction,1.4058950026338088,4.877769940846227,0.2882249510910523,True
5,1.0,0.5,opposite_direction,-2.220446049250313e-16,1.4032830728649281,-1.5823222642578262e-16,True
5,1.0,1.0,same_direction,3.6282555656243414,7.751559691727694,0.4680678095656467,True
5,1.0,1.0,opposite_direction,-2.220446049250313e-16,2.2532034911133136,-9.854618360071797e-17,True
5,1.0,2.0,same_direction,8.613796488202706,22.041774779934144,0.3907941431306305,True
5,1.0,2.0,opposite_direction,0.0,6.124095473266382,0.0,True
5,2.0,-2.0,same_direction,13.228827054749882,56.98330556963658,0.23215267914887044,True
5,2.0,-2.0,opposite_direction,0.0,13.334133868449047,0.0,True
5,2.0,-1.0,same_direction,8.228960020958326,34.593666373437955,0.237874758116901,True
5,2.0,-1.0,opposite_direction,-2.220446049250313e-16,8.166612718428768,-2.718931490701962e-17,True
5,2.0,-0.5,same_direction,5.730516883499141,24.947083668319255,0.2297068851689637,True
5,2.0,-0.5,opposite_direction,0.0,6.1371908362087515,0.0,True
5,2.0,0.5,same_direction,1.726023734904123,12.825734477548538,0.1345750403554299,True
5,2.0,0.5,opposite_direction,-2.220446049250313e-16,4.006594249808907,-5.541978824923978e-17,True
5,2.0,1.0,same_direction,3.6316057584420545,12.358559337190378,0.29385348723564664,True
5,2.0,1.0,opposite_direction,-2.220446049250313e-16,4.304291727065934,-5.1586792672250024e-17,True
5,2.0,2.0,same_direction,8.61379664277517,23.07106184437695,0.3733593495123238,True
5,2.0,2.0,opposite_direction,0.0,7.700506759548991,0.0,True
10,0.1,-2.0,same_direction,19.30685282150121,87.52897570833628,0.2205767023463799,True
10,0.1,-2.0,opposite_direction,0.0,9.86392695175565,0.0,True
10,0.1,-1.0,same_direction,9.3068982193698,24.55592493917424,0.37900825330030397,True
10,0.1,-1.0,opposite_direction,0.0,2.735705473995213,0.0,True
10,0.1,-0.5,same_direction,4.31359071571237,6.572667666984222,0.6562922293151027,True
10,0.1,-0.5,opposite_direction,0.0,0.7293278827826477,0.0,True
10,0.1,0.5,same_direction,3.6271811291086085,6.3283961931355215,0.5731596155504692,True
10,0.1,0.5,opposite_direction,0.0,0.7052092884837591,0.0,True
10,0.1,1.0,same_direction,8.61379643873951,24.095204734616125,0.35749007047715964,True
10,0.1,1.0,opposite_direction,0.0,2.690250084116861,0.0,True
10,0.1,2.0,same_direction,18.613705643002415,86.77037442379341,0.2145168298121153,True
10,0.1,2.0,opposite_direction,-2.220446049250313e-16,9.789296297229185,-2.268238678074133e-17,True
10,0.5,-2.0,same_direction,21.87180217706014,104.48295303191361,0.2093336907349809,True
10,0.5,-2.0,opposite_direction,0.0,11.6120367943763,0.0,True
10,0.5,-1.0,same_direction,11.871805669277057,36.563771026144515,0.32468767132329585,True
10,0.5,-1.0,opposite_direction,0.0,3.995941014640729,0.0,True
10,0.5,-0.5,same_direction,6.8723220914890355,15.431471953368003,0.4453445602763198,True
10,0.5,-0.5,opposite_direction,0.0,1.6781997530744075,0.0,True
10,0.5,0.5,same_direction,3.6282555656243414,9.687363772608638,0.3745348735518079,True
10,0.5,0.5,opposite_direction,0.0,1.111497048212562,0.0,True
10,0.5,1.0,same_direction,8.613796488202702,25.814984432358834,0.3336742855984601,True
10,0.5,1.0,opposite_direction,0.0,2.9364666743380985,0.0,True
10,0.5,2.0,same_direction,18.613705643002415,87.11077004844299,0.21367857995803718,True
10,0.5,2.0,opposite_direction,-2.220446049250313e-16,9.905532315683619,-2.2416221344658463e-17,True
10,1.0,-2.0,same_direction,23.228826155762185,144.1814653341318,0.16110826798667077,True
10,1.0,-2.0,opposite_direction,0.0,15.74641466448595,0.0,True
10,1.0,-1.0,same_direction,13.228827054749882,66.83988383594294,0.19791816346090238,True
10,1.0,-1.0,opposite_direction,0.0,7.209083745768892,0.0,True
10,1.0,-0.5,same_direction,8.228960020958326,38.93311870610836,0.2113614396800751,True
10,1.0,-0.5,opposite_direction,0.0,4.224929002188047,0.0,True
10,1.0,0.5,same_direction,3.6316057584420562,19.51107976338491,0.18613043473161536,True
10,1.0,0.5,opposite_direction,0.0,2.3134863545345397,0.0,True
10,1.0,1.0,same_direction,8.61379664277517,31.006238766910776,0.2778084987195428,True
10,1.0,1.0,opposite_direction,0.0,3.6871938870786103,0.0,True
10,1.0,2.0,same_direction,18.613705643002415,88.16709911973658,0.21111849917761055,True
10,1.0,2.0,opposite_direction,-2.220446049250313e-16,10.267546366506062,-2.162586824534504e-17,True
10,2.0,-2.0,same_direction,24.60766706619696,227.9332222785463,0.1079599841576631,True
10,2.0,-2.0,opposite_direction,0.0,24.776705644148787,0.0,True
10,2.0,-1.0,same_direction,14.607667292625358,138.37466549375182,0.10556605315360242,True
10,2.0,-1.0,opposite_direction,0.0,15.100886544933896,0.0,True
10,2.0,-0.5,same_direction,9.607700784555684,99.78833467327702,0.09628080091739014,True
10,2.0,-0.5,opposite_direction,0.0,11.092443748040504,0.0,True
10,2.0,0.5,same_direction,3.6448954072981223,51.302937910194146,0.07104652395694212,True
10,2.0,0.5,opposite_direction,0.0,6.365822806869259,0.0,True
10,2.0,1.0,same_direction,8.613797261064796,49.43423734876152,0.17424760091460373,True
10,2.0,1.0,opposite_direction,0.0,6.450486547528172,0.0,True
10,2.0,2.0,same_direction,18.613705643002422,92.28424737750778,0.2016997068509343,True
10,2.0,2.0,opposite_direction,-2.220446049250313e-16,11.697544114511086,-1.8982155805642965e-17,True
